Year,1,2,3,4,5,6,7,8,9,10,11,12
1946,129,11,33,-7,-3,-5,-5,0,-14,37,17,49
1947,128,-46,23,-7,-4,-7,1,1,4,-23,58,83
1948,129,5,17,5,-2,0,5,2,6,6,21,86
1949,153,-12,30,-3,2,0,-3,-3,-4,17,13,50
1950,133,-309,-2,-30,-7,-6,-6,-7,-3,2,-94,17
1951,-5,72,-35,5,0,1,-3,-1,-8,-12,16,93
1952,-88,5,26,-5,0,-4,2,-4,-6,4,25,-53
1953,-166,34,5,-9,2,-5,-5,2,1,-37,-24,38
1954,-29,12,41,-16,-5,-8,-4,3,7,-13,33,21
1955,104,54,31,8,-7,4,0,1,3,14,-82,-54
1956,-138,46,-15,1,-1,-3,-1,-3,9,16,61,-118
1957,142,36,0,0,-11,-5,-1,-2,-6,-2,35,61
1958,42,-190,26,6,3,4,-1,-13,8,-13,38,-73
1959,-290,74,-15,3,-1,-6,3,-1,2,-9,-5,73
1960,105,36,-98,-8,-1,-6,-5,-1,5,-8,9,48
1961,38,-21,-52,7,-2,-11,2,0,16,24,20,-72
1962,40,76,19,-25,3,1,-3,5,3,11,-45,-23
1963,138,-73,43,10,0,19,13,19,-32,-24,-108,-21
1964,27,82,-12,12,1,-1,0,-5,6,16,-11,-89
1965,-96,-28,38,9,13,8,-3,5,30,-27,-10,51
1966,-235,83,-64,9,18,9,10,0,-10,26,37,-96
1967,-5,23,18,17,2,14,4,5,-31,6,78,62
1968,42,-50,6,11,2,-5,-5,-5,-5,4,7,-48
1969,-49,-23,27,-18,-1,3,4,-4,-8,-40,-20,-65
1970,-71,6,21,14,1,2,1,1,2,6,-15,-46
1971,-233,39,-51,-7,0,0,6,-4,6,30,13,79
1972,57,-199,-34,0,3,8,-1,-2,8,25,34,13
1973,47,-10,37,4,-14,1,9,8,3,6,-19,-39
1974,-22,-93,-31,-6,2,3,10,-1,-11,-9,34,68
1975,71,-14,22,9,-2,4,-2,-3,7,-6,-34,-2
1976,67,-1,35,-14,-2,2,-3,-5,-24,12,-29,-17
1977,48,-17,38,1,5,-3,-5,-4,15,-33,2,-48
1978,-4,-88,-10,8,-1,28,4,-3,2,14,49,97
1979,59,-344,6,12,-1,2,-5,0,-20,-16,57,62
1980,24,-24,16,-45,-3,5,0,2,-5,-22,9,-100
1981,24,52,-25,-6,-3,-3,5,-11,-11,20,3,14
1982,-109,-77,13,-12,1,-4,1,-2,2,8,15,-64
1983,-139,-71,-82,10,-7,-7,-3,-2,7,8,-38,1
1984,101,-21,-16,-1,1,-5,-5,-3,-25,-19,17,72
1985,76,23,17,3,4,-7,-1,0,12,16,34,4
1986,-44,-19,-40,-11,-1,-7,4,-1,9,-20,-22,26
1987,61,-3,-29,-23,-2,-25,2,-2,-7,17,26,88
1988,65,-31,-29,-21,-4,-9,-3,-7,-2,-22,-12,58
1989,110,80,-68,-1,6,-7,0,-1,6,4,34,46
1990,116,37,-23,-4,3,-1,2,-3,11,20,18,101
1991,134,22,49,-28,-3,1,-2,-7,-6,15,-68,76
1992,63,18,24,-21,2,1,-1,-4,3,-2,49,98
1993,167,33,1,-25,0,-1,5,1,32,18,85,45
1994,30,-121,17,1,-7,-3,-2,3,-6,-1,68,10
1995,56,31,-45,-15,1,-6,4,-2,-4,1,-82,-75
1996,48,73,17,-30,4,-3,-1,-3,3,-30,26,11
1997,55,61,-43,-1,3,-1,-5,-2,2,-11,28,79
1998,11,-6,34,2,11,6,-2,1,6,3,50,36
1999,-92,-27,-4,6,-1,-6,-2,-5,-8,8,-28,70
2000,112,63,-1,-18,-2,-6,-1,-4,5,-20,47,33
2001,76,77,-15,5,-2,-6,1,-6,-6,23,-10,24
2002,114,42,17,12,2,-6,-2,3,8,15,2,74
2003,77,73,-29,-3,1,-3,0,-5,-16,0,86,27
2004,0,31,25,-11,6,-5,-2,-7,7,23,66,25
2005,69,46,-45,-42,-6,-6,-4,-3,12,-33,-80,-40
2006,-16,100,-78,-28,-3,-3,7,3,0,32,-166,-36
2007,129,-17,-171,-74,-8,-4,-4,-3,10,-22,4,0
2008,104,-124,-104,10,-14,0,0,-16,-17,-20,-15,44
2009,52,87,-63,3,-6,-1,3,-4,-16,1,32,75
2010,-100,31,6,12,4,-9,-3,-4,-11,-17,63,30
2011,153,86,-13,4,-4,2,-4,-20,-39,9,74,135
2012,139,74,36,8,-9,-5,-7,-8,-18,5,-97,49
2013,142,73,34,-6,1,-5,3,-9,-12,23,66,89
2014,143,36,13,-4,-1,-7,-7,-20,-4,-4,39,79
2015,101,29,20,-18,5,-11,-1,-3,5,-12,86,56
2016,53,-43,-15,-29,-1,-7,-2,-13,5,-21,-10,87
2017,158,96,-116,-20,-8,-10,-5,-16,-11,31,-12,83
2018,38,90,30,-25,-10,4,10,10,-1,-23,10,88
