Year,1,2,3,4,5,6,7,8,9,10,11,12
1946,114,14,18,3,-2,-4,-6,1,-13,41,12,38
1947,75,-11,28,-3,-1,-6,3,1,2,-17,45,94
1948,107,2,15,-13,-3,1,7,0,3,18,0,70
1949,125,7,39,-8,0,1,-3,-3,1,18,24,46
1950,96,-297,8,-14,-3,-6,-6,-6,0,5,-91,19
1951,11,70,-30,11,0,4,-2,4,-5,-2,21,85
1952,-67,17,31,4,-1,-3,4,-5,-6,11,45,-4
1953,-135,50,3,-3,1,-5,-5,5,0,-28,-13,42
1954,-61,-7,42,-18,-3,-8,-3,7,2,3,29,-3
1955,97,33,37,7,0,5,1,1,1,16,-59,-42
1956,-126,32,2,7,9,-3,-2,-3,5,6,33,-102
1957,123,27,17,3,-8,-5,-3,-2,-5,1,43,43
1958,35,-116,34,6,4,7,2,-10,4,-14,33,-39
1959,-210,74,-55,7,-2,-5,3,-1,0,-5,7,64
1960,90,36,-98,-6,-2,-6,-3,-1,5,-3,-3,56
1961,24,-27,-56,7,-3,-9,1,2,15,14,18,-83
1962,8,64,23,-33,0,-1,-4,4,-1,11,-52,-46
1963,94,-86,36,11,-1,19,11,17,-25,-24,-131,3
1964,2,69,-16,12,-5,-2,-2,-6,1,13,-7,-100
1965,-47,-15,42,5,7,7,-6,1,30,-50,12,33
1966,-143,67,-84,8,13,6,5,-1,-8,17,20,-98
1967,-27,8,17,17,0,11,2,6,-20,1,70,62
1968,0,-32,5,11,0,-6,-5,-6,-9,-1,-6,-29
1969,-17,0,30,-10,0,4,3,-5,-8,-20,-12,-30
1970,-73,2,23,12,-1,2,0,1,-4,2,-9,-13
1971,-186,22,-53,0,0,1,3,-5,1,24,7,84
1972,40,-166,-47,0,0,4,-3,-2,3,21,25,9
1973,6,2,41,6,-13,-2,3,3,-1,6,2,5
1974,-4,-94,-16,-2,0,-1,6,-3,-8,-6,32,59
1975,53,20,26,9,-6,2,-4,-5,6,-10,-46,12
1976,53,-5,36,-4,-2,-2,-4,-6,-14,14,5,15
1977,47,4,33,7,3,-3,-5,-4,10,-14,3,-8
1978,18,-55,1,7,-3,26,3,-3,-1,16,48,96
1979,71,-227,9,13,-3,-1,-6,-1,-17,-4,59,33
1980,8,9,24,-33,-3,7,4,2,-7,-11,8,-94
1981,36,48,-12,-4,-5,-2,7,-5,-11,16,3,25
1982,-53,-101,31,-12,-1,-2,2,-4,5,-15,20,-37
1983,-130,-50,-65,13,-6,-8,-5,-4,2,4,-11,33
1984,67,-55,-13,-4,-2,-5,-6,-5,-21,-20,14,77
1985,62,-2,26,-11,1,-7,-3,1,10,0,31,12
1986,-23,10,-44,-12,-1,-7,1,1,3,-12,-4,37
1987,58,-6,-15,-15,-3,-25,-1,-5,-2,19,21,78
1988,54,-17,-10,-14,-5,-8,-2,-4,-1,-26,-36,73
1989,31,69,-60,2,2,-5,-2,0,10,8,15,49
1990,89,-7,0,-2,1,-1,2,-4,10,15,-30,86
1991,102,22,47,-22,-2,2,-3,-6,0,9,-58,82
1992,46,-1,29,-32,-2,1,-2,0,-11,-3,52,90
1993,131,35,5,-23,-3,-1,1,4,32,18,68,58
1994,46,-2,17,1,-9,-3,-2,1,-5,-3,47,36
1995,52,29,-61,-6,-1,-6,-1,-4,-5,1,-67,-53
1996,51,52,22,-26,1,-4,-1,-5,1,-47,22,-39
1997,32,50,-66,-4,3,1,-3,-5,-2,-61,26,64
1998,-47,-48,20,4,15,5,-3,-2,2,2,35,22
1999,-95,-82,3,7,-1,-7,0,-7,-4,-1,-35,67
2000,86,56,9,-15,-7,-6,1,-7,-6,-24,35,31
2001,65,69,3,7,-2,-6,2,-10,-5,15,-4,19
2002,104,53,12,10,0,-5,2,1,4,14,18,78
2003,58,72,-43,-2,-1,-5,1,-6,-19,-5,60,23
2004,-50,27,18,-12,2,-6,-4,-8,1,22,59,25
2005,17,39,-22,-29,-5,-6,-2,-4,8,-17,-84,-25
2006,-40,84,-58,-9,-2,-4,5,2,-1,28,-156,-19
2007,100,-22,-175,-61,-6,-3,-4,-5,6,-13,11,10
2008,74,-120,-70,11,-9,2,1,-14,-14,-24,-12,22
2009,23,71,-44,5,-5,0,4,-5,-17,4,41,73
2010,-16,26,13,10,2,-7,6,0,-4,2,51,0
2011,111,48,-3,9,-4,6,-2,-7,-20,16,36,121
2012,67,71,29,6,-4,0,-2,-5,10,-1,-106,38
2013,103,65,34,-16,0,-2,7,-4,-5,38,47,68
2014,106,18,21,-5,0,-3,-4,-9,0,-9,20,67
2015,59,18,18,-1,5,-3,2,-5,3,-15,71,50
2016,29,-40,-9,-27,2,-4,-1,-2,9,-16,-19,74
2017,116,79,-125,-19,-2,-6,-1,-8,-3,26,-21,78
2018,14,74,32,-11,-1,11,12,12,1,2,9,87
