"","Year","GOA.Up","SE.Up","GOA.SST","SE.SST","GOA.Discharge","Climate.DFA1.x","Up.DFA1","Climate.DFA1.y","SST.DFA1","Dis.DFA1","EBS.Discharge","EBS.SST","EBS.Wind"
"1",1950,-0.928437969406891,-0.682148953007148,-1.35707740751101,-1.38708322733784,-2.87071744558957,-1.29548583919168,-1.05823584896913,-1.29548583919168,-1.62480263717122,0.886396910854038,0.590587917306328,-0.921714857906187,1.03186168457984
"2",1951,0.610380460292329,0.647809644286068,-0.49424765299394,0.0434534381850376,-1.32179698856499,-0.0454476439835358,0.777165904825226,-0.0454476439835358,-0.371068948314652,0.707850034491974,0.592268422226743,0.00133831000426976,1.23537346036987
"3",1952,-0.0222724599921695,-0.484178576440562,-0.767435758816597,-0.147194731339225,0.459595663067455,-0.131541304095048,-0.993639261714959,-0.131541304095048,-0.64866547773297,0.328944389695833,0.583200115161561,-0.461898046924795,1.31688377011217
"4",1953,-0.525624861116564,-0.350373828100523,0.710360214599209,1.00592544145551,0.185546204228074,0.309149435177159,-1.0457777784554,0.309149435177159,-0.223116372218005,0.100060183911526,0.322522219199639,0.247371697769991,-0.816842460747936
"5",1954,-0.903166590920641,-0.237569062128626,0.114345555266923,0.378020259638377,-0.62527506462252,-1.10050328493754,-1.109708092039,-1.10050328493754,-0.542634763420839,0.824423375450196,0.116778653786189,-0.148850970879273,-0.609984253942151
"6",1955,0.576273827778728,0.111689687888989,-0.563709006081485,-0.65501037915955,-0.0403436686758374,-1.87604481639947,0.963276857599422,-1.87604481639947,-1.34716708036953,0.141478324471158,0.311530011189451,-1.27826966479058,-0.674848900178156
"7",1956,0.596135058098299,0.286507577011663,-0.354281505707011,0.268240289122242,0.0978751386320624,-1.49984025808714,0.730854102307064,-1.49984025808714,-0.385239416172478,1.17746285427555,0.334913111889467,-1.39968405561585,0.268026225581607
"8",1957,-0.16190438987139,0.726531735563694,1.18299640257408,1.61716685904036,-0.371254613337731,0.636765167023513,0.561800968074734,0.636765167023513,0.512539175218047,0.625929155053723,-0.0595032998317253,0.611715461219093,0.47903062390159
"9",1958,0.984767257356057,1.55318234654508,1.18177488359043,1.88358154715428,0.841005800495287,0.82101168267051,-0.998498551365222,0.82101168267051,1.86149883858085,0.438992678611937,-0.22131182567557,0.120015176800048,-0.281187430372472
"10",1959,0.181170572366746,1.14518217358306,0.560275658219914,1.04300925370003,1.0149769088935,0.0875331749862561,0.884800929057141,0.0875331749862561,1.07062528702519,1.05358344499136,-0.0261964392737025,0.00940953505323854,0.200982747561076
